dataset,frac,seed,ref_ap,ref_time,ens_final_test,ens_final_val,single_final_test,single_best_name,ens_total_time,t_beat_ref,beat_ref,beat_in_less_time
online_shoppers_intention,0.2,0,0.7335897088714853,11.548939960002826,0.7161893690997952,0.7460653414476079,0.7269366475171972,catboost,20.415600809000352,,False,False
online_shoppers_intention,0.6,0,0.7501441738766993,29.33033099899876,0.7369653969061986,0.7444905202036644,0.7382589469514366,hgb,30.24954498199986,,False,False
online_shoppers_intention,1.0,0,0.7673054214073718,49.972084630995596,0.7616422656297754,0.7497097987140154,0.7586216177982255,hgb,41.168997496999964,,False,False
online_shoppers_intention,0.2,1,0.7105176995069613,11.254837256004976,0.713297815714711,0.6945017631240076,0.713297815714711,catboost,16.492047760999867,6.47086687799947,True,True
online_shoppers_intention,0.6,1,0.7342459842724729,46.622996596999656,0.73843398214104,0.7502922305101282,0.7352356226327639,hgb,31.844645431000117,3.8200014230001216,True,True
online_shoppers_intention,1.0,1,0.7401062690957931,45.12864817398986,0.734391505290591,0.7331205609403117,0.7301535794736399,hgb,59.43822521300035,,False,False
online_shoppers_intention,0.1,0,0.7036419289139033,4.801972897010273,0.6642374052561024,0.8477515120228137,0.6920352178465058,catboost,3.132849759029341,,False,False
online_shoppers_intention,0.3,0,0.7288994391343855,17.09473015599724,0.7209216659206389,0.7535186654311549,0.729575078788368,hgb,6.920379704984953,,False,False
online_shoppers_intention,0.4,0,0.7583937440388177,25.109812540995335,0.7376084781677908,0.7949440892040389,0.7194497623789693,rf,5.310391218983568,,False,False
online_shoppers_intention,0.5,0,0.75038821293147,31.437753048976447,0.7393603881646089,0.7720550503303293,0.7378538234477559,catboost,6.533740388971637,,False,False
online_shoppers_intention,0.7,0,0.7520750693231091,31.994195074985328,0.735278228656047,0.7572699731031453,0.7337943571208997,hgb,12.225607439992018,,False,False
online_shoppers_intention,0.8,0,0.7496190411273482,41.46973739198438,0.7524557323538086,0.7572207958644713,0.7550505245876705,hgb,25.342733819008572,16.853409963019658,True,True
online_shoppers_intention,0.9,0,0.7591193757851358,40.32089167198501,0.752236977233899,0.7346029461460859,0.7433440034509147,hgb,21.18478497097385,,False,False
online_shoppers_intention,0.1,1,0.7092105701006862,4.624078415006807,0.7158198498174769,0.7421799342934563,0.7117241781961322,hgb,3.484017226001015,1.7798868289974052,True,True
online_shoppers_intention,0.3,1,0.7342737367466875,15.134506668004178,0.7245777637102374,0.6652689515049119,0.7114462642187701,catboost,4.427809694985626,,False,False
online_shoppers_intention,0.4,1,0.7398062582763136,25.899413193992586,0.7225297702921655,0.766910369100517,0.7225297702921655,hgb,8.422879826975986,,False,False
online_shoppers_intention,0.5,1,0.7427651830604431,21.50122959598957,0.7297739836503188,0.7368277925361622,0.7297739836503188,hgb,6.698897270005546,,False,False
online_shoppers_intention,0.7,1,0.7440855640097049,28.881094806012698,0.7369340293973917,0.7633922486373648,0.7291597340574031,hgb,8.296214019996114,,False,False
online_shoppers_intention,0.8,1,0.7469175836012213,33.881291523985055,0.7390339793673928,0.7831988028693915,0.7327481538690332,hgb,16.637813484980143,,False,False
online_shoppers_intention,0.9,1,0.7468921383470373,38.497349609988305,0.7467364139957553,0.7409091311725756,0.7395893525603894,hgb,18.610384207975585,,False,False
coil_2000,0.2,0,0.1248522731610276,20.578929874001915,0.11684477783448674,0.2351730244605015,0.12055795705145583,knn,8.878040257001885,0.1463259640004253,False,True
coil_2000,0.6,0,0.18948611686348488,37.0245800199973,0.15731382698832352,0.16912656094569795,0.15453943314735696,logreg,15.530209327000193,,False,False
coil_2000,1.0,0,0.18221341467238364,43.49480091199621,0.15384851292188256,0.16531502308063883,0.15384851292188256,hgb,31.344958386001053,,False,False
coil_2000,0.2,1,0.1574815212490181,24.569184763009616,0.1488285819062834,0.24415264995690306,0.14312914992051706,lgbm,10.396132290999049,,False,False
coil_2000,0.6,1,0.16232308732288128,32.27612006599156,0.1334331509278317,0.14620415421756858,0.1282467650262541,lgbm,18.90661240100053,,False,False
coil_2000,1.0,1,0.18437493127242557,47.398435920997144,0.18597825893379671,0.20350781970023532,0.16911808227621578,logreg,24.8800300970006,24.8800300970006,True,True
coil_2000,0.1,0,0.11431125627950288,5.939028757020424,0.09405604868507983,0.3616190476190476,0.15755181010087524,catboost,3.1716816360130906,2.3443309090071125,False,True
coil_2000,0.3,0,0.15835123482665472,24.906111629024963,0.1623180421592503,0.26755057495070644,0.1298490792748281,logreg,6.624298202004866,1.5132771829958074,True,True
coil_2000,0.4,0,0.18199139094090855,22.879224711996358,0.15580819455798264,0.1483397501021624,0.15360801892541692,hgb,4.415740173004451,,False,False
coil_2000,0.5,0,0.17741521701105906,26.258073522974883,0.15118326045927935,0.1758690078082788,0.15118326045927935,logreg,10.335960430995328,,False,False
coil_2000,0.7,0,0.1678438130321846,32.994940331002,0.18958399609273946,0.14665950520425,0.13599921805488188,rf,8.076948843969149,1.7067107829789165,True,True
coil_2000,0.8,0,0.1593971014185929,39.03794385299625,0.16931011093907708,0.13048238930664344,0.13899565717420906,hgb,13.248052523005754,2.3023117060074583,True,True
coil_2000,0.9,0,0.19354883728172836,42.022348796992446,0.1708375384702694,0.19561628083265278,0.17882392041128442,hgb,10.8451568550081,,False,False
coil_2000,0.1,1,0.1254013411007084,4.576399414007028,0.12166224584517969,0.29047631847976674,0.12681288157789247,hgb,9.92717774301127,,False,False
coil_2000,0.3,1,0.1613250465945515,23.00178775198947,0.10915757151663105,0.11386586729905356,0.10915757151663105,logreg,3.956635952970828,,False,False
coil_2000,0.4,1,0.12823545547865595,17.087574967003093,0.12167288094511874,0.21604702930116065,0.12561321780445442,logreg,5.466669622983318,,False,False
coil_2000,0.5,1,0.1648249261933909,30.56826990997797,0.12108126746265281,0.13454662824798666,0.12108126746265281,logreg,8.147606866972637,,False,False
coil_2000,0.7,1,0.1540037854016296,34.26796289100457,0.16925223622066063,0.14482453609220614,0.15651364345027569,logreg,8.542860488974839,0.6427236529998481,True,True
coil_2000,0.8,1,0.18981769282466004,53.44255152400547,0.16610911751837332,0.16121841313281207,0.15503988380066286,hgb,8.226211950997822,,False,False
coil_2000,0.9,1,0.18090663772034196,41.71566290400369,0.18173970132676248,0.19785467949560337,0.15721223715186233,logreg,16.221383757991134,15.354732646985212,True,True
Give-Me-Some-Credit-Sampled-Preprocessed,0.2,0,0.35180971955750845,10.62405340400801,0.3170313087222479,0.3550830685566731,0.3215400486099339,rf,12.636298539999189,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.6,0,0.35562618369624477,19.218489601003967,0.359145549929395,0.3962189445151475,0.3488116899942743,hgb,47.3891212590006,47.3891212590006,True,False
Give-Me-Some-Credit-Sampled-Preprocessed,1.0,0,0.3649045966468486,34.16582366599505,0.35668687292904405,0.4240912172702319,0.3434800858833272,catboost,46.36150961600015,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.2,1,0.3722344860628556,8.34772922898992,0.3472656911061055,0.42001992330737714,0.32348024652967916,rf,9.779840366999451,0.02512041699992551,False,True
Give-Me-Some-Credit-Sampled-Preprocessed,0.6,1,0.3904796881402217,19.103090325002995,0.4028421054709018,0.4203920414083309,0.360561804565028,catboost,40.534658034999666,2.5180892679982207,True,True
Give-Me-Some-Credit-Sampled-Preprocessed,1.0,1,0.42357040720589456,29.448120816001392,0.4058753525576013,0.3948248358675379,0.3930292691252899,hgb,47.49979109499964,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.1,0,0.31967181202951267,4.889132978998532,0.2909180444141507,0.49315782075253034,0.3040256765181518,hgb,2.9057536910113413,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.3,0,0.3500276197893254,10.282427291014756,0.34235578307763187,0.39547615111817097,0.31623858434499663,catboost,6.217922797019128,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.4,0,0.3637894273678537,13.627787256005831,0.3401912613509747,0.40278535155966233,0.3196408689164388,logreg,8.163310413976433,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.5,0,0.36353091957117906,16.14381353698991,0.3456647131478035,0.4458893864704679,0.3280742851286001,catboost,15.534742381991236,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.7,0,0.3700202868688754,23.07113934300287,0.35738618389468574,0.4083125247328082,0.33717656614631086,catboost,27.17566248998628,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.8,0,0.35791372797695065,28.917645104003896,0.366366070159521,0.36695414057265874,0.34390803492283667,hgb,38.858047126981546,38.858047126981546,True,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.9,0,0.3658732804569586,25.477567764974083,0.3631087337974241,0.44092572976542294,0.34118532286941117,hgb,49.66086636498221,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.1,1,0.37869236073251566,6.634898493968649,0.3694023065671833,0.43148266194184165,0.29905979422130907,extratrees,2.6229783900053008,,False,False
Give-Me-Some-Credit-Sampled-Preprocessed,0.3,1,0.3882304827124169,10.412735110039648,0.4019251669189632,0.39639621379541246,0.33227967551532744,rf,24.94785361898539,0.8398584419919644,True,True
Give-Me-Some-Credit-Sampled-Preprocessed,0.4,1,0.37546970855742046,13.001325829000052,0.3720771442151416,0.41483892263310596,0.3261931644523342,catboost,14.051803838985506,0.02128796000033617,False,True
Give-Me-Some-Credit-Sampled-Preprocessed,0.5,1,0.3994200019738404,14.376796579017537,0.3802376307433505,0.4355367676227634,0.32759987459449325,extratrees,15.052798212040216,1.2518144920031773,False,True
