frac,ap_grid,ap_o18,ap_o40,t_grid,t_o18,t_o40
0.1,0.6046185824071889,0.6018204676895687,0.6038234048199641,6.586202906251068,4.792109070929533,13.122986334598075
0.2,0.6143244503372749,0.6189449458999716,0.6176830840067037,14.894023842641595,8.854170771172221,35.02724378175015
0.3,0.6515714299978871,0.6436071555486779,0.6468709004126182,19.819259662738716,12.998908780476768,31.76556999841017
0.4,0.6554854165784617,0.6603409455139482,0.6608740720949576,28.616861843889545,16.99503215068762,63.116413793046874
0.5,0.6669284385046386,0.6729397881918835,0.6718496615263041,31.890168029248287,23.101549675923252,55.38138728966982
0.6,0.6770141659542238,0.6778023012894066,0.6815452681006375,41.348397853248414,29.555880285578723,108.33124535231346
0.7,0.6852733722278822,0.6808786203287824,0.6820145071805803,42.95822571794014,34.17119528965668,83.55424288062767
0.8,0.6911334587149598,0.6960379890635111,0.6939635603746875,55.753164513092464,42.85289775577894,159.85380831604652
0.9,0.6917733766631783,0.6895812505142658,0.6931325132669317,54.2132065667364,49.42939181399447,116.4259672985171
1.0,0.6983963762174029,0.6953362524687333,0.6976485823321071,66.29910976312513,54.78485047521713,185.48568127153135
