budget,bohb,cmaes,gp,grid,hyperband,random,tpe
20,48.49249881084779,24.786356704657194,27.71974937503296,27.514091463969905,47.1578755349401,34.81392904643614,27.634433851154952
40,86.62302050018798,51.83884443553269,50.80386422703472,48.211106661467745,81.87314665600161,67.68585890268639,51.94265612821555
80,149.06979209976134,107.39092800272255,99.26222765819142,101.94417039249917,147.34112492953727,130.92704545062588,104.708796806463
160,279.2314070718853,218.23122036737504,195.84995950506536,199.24244168262138,270.05894196346617,259.50144238506147,181.9068923636875
