dataset,frac,seed,e1_ap,ens_e1,e2_ap,ens_e2,e1_t,ens_e1_t,e2_t,e2ens_t,ens_e1_at,ens_e1_at_t,e1_at,e1_at_t,e2_at,e2_at_t
online_shoppers_intention,0.2,0,0.7335897088714853,0.711819670337113,0.7318165802205255,0.7345326206390468,11.548939960002826,20.415600809000352,17.11767045600027,60.66308237200428,0.7262973374474122,61.79435622211895,0.7087604855330353,61.29273444390856,0.7339775575992052,63.44391078388435
online_shoppers_intention,0.6,0,0.7501441738766993,0.7369653969061986,0.7535457233795427,0.752045842923835,29.33033099899876,30.24954498199986,40.62935738699889,131.8956654240028,0.7359301832768794,132.18466363014886,0.7501441738766993,133.33856788600679,0.7553035217461245,133.23064477698063
online_shoppers_intention,1.0,0,0.7673054214073718,0.7616422656297754,0.7631975547469724,0.7635956106671332,49.9720846309956,41.16899749699997,49.12195336100012,657.5909381849924,0.7598514304360069,664.0525366840011,0.7672368651267398,660.9582819729985,0.7671037034484108,658.9730442409054
online_shoppers_intention,0.2,1,0.7105176995069613,0.713297815714711,0.7129479273124703,0.7217171226536532,11.254837256004976,16.492047760999867,13.330803087999811,80.70591759799572,0.7058692016790082,82.0426397160918,0.6978812985598811,80.72362860987778,0.7270621145461256,82.17125519609544
online_shoppers_intention,0.6,1,0.7342459842724729,0.73843398214104,0.7416240676159681,0.7417052546759983,46.622996596999656,31.84464543100012,36.37441981599841,229.6476512030058,0.7399624528949046,229.65862662013387,0.7453050963392454,239.8904931290308,0.7458233013569516,230.48843354417477
online_shoppers_intention,1.0,1,0.7401062690957931,0.734391505290591,0.7413259071808337,0.7484469542413046,45.12864817398986,59.43822521300035,45.576715025999874,587.3055310409982,0.7369427856404728,588.6875841639994,0.7355806494954414,589.6326604659553,0.7443654553170231,588.9306683501636
online_shoppers_intention,0.1,0,0.7036419289139033,0.6642374052561024,0.6310595689942832,0.6890148152906842,4.801972897010273,3.132849759029341,5.931389703957393,34.12891565800237,0.6492511031652175,34.18764738505706,0.6444770446107946,34.6170008960471,0.6595122724004555,34.417683998995926
online_shoppers_intention,0.3,0,0.7288994391343855,0.7209216659206389,0.7262852724618301,0.7354107595178475,17.09473015599724,6.920379704984953,17.83660692902413,41.488867175998166,0.7189866953726922,42.425852680928074,0.7437518444661378,42.19717685083742,0.727678547641896,42.42704333001166
online_shoppers_intention,0.4,0,0.7583937440388177,0.7376084781677908,0.7458183106104438,0.7448688446272482,25.109812540995332,5.310391218983568,30.933671240998592,63.00291622598888,0.7332855331093423,63.0042918541003,0.7495631271718183,63.30202941715834,0.7293553394014753,66.62982187897433
online_shoppers_intention,0.5,0,0.75038821293147,0.7393603881646089,0.7571070586502799,0.7523282711669491,31.437753048976447,6.533740388971637,26.977158792007685,107.4779250749998,0.7482022640081,110.45644938593614,0.7473490331714676,107.66742316694581,0.7521680851608564,108.01663150006789
