budget,bohb,cmaes,gp,grid,hyperband,random,tpe
20,0.7036024937609746,0.699199738293271,0.6943674696976943,0.7007224668607805,0.7018317539424199,0.6984209094546232,0.7009444953152505
40,0.7049492404727948,0.7025001030149585,0.6944865232092646,0.701367468769377,0.7010110079998334,0.6982014683145475,0.7033522826152098
80,0.7053237293272783,0.7031378927730427,0.6990188387939339,0.7067378111736319,0.7006855083992675,0.6986514751008351,0.7007796998025124
160,0.7065665460358661,0.7044836412338437,0.6992380830315572,0.7072580602460345,0.7046122126227016,0.6968498747456955,0.7024342570021457
