dataset,frac,seed,e1_ap,e2_ap,e1_t,e2_t,ens_full,ens_full_t,ens_at_e1,ens_at_e2,e2ens_ap,e2ens_t,beat_e1_isot,beat_e2ens,e2ens_faster,beat_e2_isot
online_shoppers_intention,0.2,0,0.7335897088714853,0.7318165802205255,11.548939960002826,17.11767045600027,0.7161893690997952,20.415600809000352,0.711819670337113,0.7239522088490563,0.7345326206390468,60.66308237200428,False,True,False,False
online_shoppers_intention,0.6,0,0.7501441738766993,0.7535457233795427,29.33033099899876,40.62935738699889,0.7369653969061986,30.24954498199986,0.7369653969061986,0.7369653969061986,0.752045842923835,131.8956654240028,False,False,False,False
online_shoppers_intention,1.0,0,0.7673054214073718,0.7631975547469724,49.972084630995596,49.12195336100012,0.7616422656297754,41.168997496999964,0.7616422656297754,0.7616422656297754,0.7635956106671332,657.5909381849924,False,True,False,False
online_shoppers_intention,0.2,1,0.7105176995069613,0.7129479273124703,11.254837256004976,13.330803087999811,0.713297815714711,16.492047760999867,0.713297815714711,0.713297815714711,0.7217171226536532,80.70591759799572,True,True,False,True
online_shoppers_intention,0.6,1,0.7342459842724729,0.7416240676159681,46.622996596999656,36.37441981599841,0.73843398214104,31.844645431000117,0.73843398214104,0.73843398214104,0.7417052546759983,229.6476512030058,True,True,False,False
online_shoppers_intention,1.0,1,0.7401062690957931,0.7413259071808337,45.12864817398986,45.576715025999874,0.734391505290591,59.43822521300035,0.734391505290591,0.734391505290591,0.7484469542413046,587.3055310409982,False,True,False,False
online_shoppers_intention,0.1,0,0.7036419289139033,0.6310595689942832,4.801972897010273,5.931389703957393,0.6642374052561024,3.132849759029341,0.6642374052561024,0.6642374052561024,0.6890148152906842,34.12891565800237,False,True,False,True
online_shoppers_intention,0.3,0,0.7288994391343855,0.7262852724618301,17.09473015599724,17.83660692902413,0.7209216659206389,6.920379704984953,0.7209216659206389,0.7209216659206389,0.7354107595178475,41.488867175998166,False,True,False,False
online_shoppers_intention,0.4,0,0.7583937440388177,0.7458183106104438,25.109812540995335,30.933671240998592,0.7376084781677908,5.310391218983568,0.7376084781677908,0.7376084781677908,0.7448688446272482,63.00291622598888,False,False,False,False
online_shoppers_intention,0.5,0,0.75038821293147,0.7571070586502799,31.437753048976447,26.977158792007685,0.7393603881646089,6.533740388971637,0.7393603881646089,0.7393603881646089,0.7523282711669491,107.4779250749998,False,False,False,False
online_shoppers_intention,0.7,0,0.7520750693231091,0.7553127672882929,31.994195074985328,36.441996136014495,0.735278228656047,12.225607439992018,0.735278228656047,0.735278228656047,0.753836470225201,287.70506138900237,False,False,False,False
online_shoppers_intention,0.8,0,0.7496190411273482,0.7601559964223379,41.46973739198438,41.301613001995065,0.7524557323538086,25.342733819008572,0.7524557323538086,0.7524557323538086,0.7604591201998067,285.86248678999254,True,True,False,False
online_shoppers_intention,0.9,0,0.7591193757851358,0.7603445669323864,40.32089167198501,33.743198048014165,0.752236977233899,21.18478497097385,0.752236977233899,0.752236977233899,0.7630095903204257,407.4667589919991,False,True,False,False
online_shoppers_intention,0.1,1,0.7092105701006862,0.6794936919974875,4.624078415006807,5.121237763993122,0.7158198498174769,3.484017226001015,0.7158198498174769,0.7158198498174769,0.7035919151726479,226.5593745119986,True,True,False,True
online_shoppers_intention,0.3,1,0.7342737367466875,0.7386093398487108,15.134506668004178,14.36310372301159,0.7245777637102374,4.427809694985626,0.7245777637102374,0.7245777637102374,0.7320815608742559,183.5095330450131,False,False,False,False
online_shoppers_intention,0.4,1,0.7398062582763136,0.7372140947509882,25.899413193992586,24.8044468480075,0.7225297702921655,8.422879826975986,0.7225297702921655,0.7225297702921655,0.7313593147674711,201.16296854199027,False,False,False,False
online_shoppers_intention,0.5,1,0.7427651830604431,0.7441456681403741,21.50122959598957,24.799600026988628,0.7297739836503188,6.698897270005546,0.7297739836503188,0.7297739836503188,0.7414066383494627,230.72168209600204,False,False,False,False
online_shoppers_intention,0.7,1,0.7440855640097049,0.7458270138754997,28.881094806012698,35.14051149000443,0.7369340293973917,8.296214019996114,0.7369340293973917,0.7369340293973917,0.7435199250942836,295.9362046820024,False,False,False,False
online_shoppers_intention,0.8,1,0.7469175836012213,0.7475043822278353,33.881291523985055,39.26944828499836,0.7390339793673928,16.637813484980143,0.7390339793673928,0.7390339793673928,0.7514087452439272,236.29408426799637,False,True,False,False
online_shoppers_intention,0.9,1,0.7468921383470373,0.7457795879639262,38.497349609988305,37.105745791002846,0.7467364139957553,18.610384207975585,0.7467364139957553,0.7467364139957553,0.748214656914648,273.7925943720038,False,True,False,True
coil_2000,0.2,0,0.1248522731610276,0.15099699142519435,20.578929874001915,17.219664311996894,0.11684477783448674,8.878040257001885,0.11684477783448674,0.11684477783448674,0.16008999300768276,49.954119511006866,False,True,False,False
coil_2000,0.6,0,0.18948611686348488,0.20077316830624603,37.0245800199973,42.27227836000566,0.15731382698832352,15.530209327000193,0.15731382698832352,0.15731382698832352,0.19853368788063863,145.78333141299663,False,False,False,False
coil_2000,1.0,0,0.18221341467238364,0.18593025469129704,43.49480091199621,52.892783290995794,0.15384851292188256,31.344958386001053,0.15384851292188256,0.15384851292188256,0.1806026748279024,202.44605740600673,False,False,False,False
coil_2000,0.2,1,0.1574815212490181,0.16202419425346837,24.569184763009616,15.991901586001404,0.1488285819062834,10.396132290999049,0.1488285819062834,0.1488285819062834,0.1525751306638612,66.42316632300208,False,False,False,False
coil_2000,0.6,1,0.16232308732288128,0.15075861597553994,32.27612006599156,25.945216932996118,0.1334331509278317,18.90661240100053,0.1334331509278317,0.1334331509278317,0.14368292403275024,100.58934682699328,False,False,False,False
coil_2000,1.0,1,0.18437493127242557,0.17768188562471332,47.398435920997144,48.65895046099649,0.18597825893379671,24.8800300970006,0.18597825893379671,0.18597825893379671,0.18313998529078368,379.058827603003,True,True,False,True
coil_2000,0.1,0,0.11431125627950288,0.1163441332485357,5.939028757020424,9.782776056003058,0.09405604868507983,3.1716816360130906,0.09405604868507983,0.09405604868507983,0.1134704178088572,60.66033012099797,False,False,False,False
coil_2000,0.3,0,0.15835123482665472,0.1638970511063654,24.906111629024963,26.649972910985525,0.1623180421592503,6.624298202004866,0.1623180421592503,0.1623180421592503,0.1605872259138017,51.6645656190085,True,False,False,False
coil_2000,0.4,0,0.18199139094090855,0.17650431641241437,22.879224711996358,27.30117923200305,0.15580819455798264,4.415740173004451,0.15580819455798264,0.15580819455798264,0.17529746984413333,110.22986054400099,False,False,False,False
coil_2000,0.5,0,0.17741521701105906,0.177081998058585,26.258073522974883,25.98728989299343,0.15118326045927935,10.335960430995328,0.15118326045927935,0.15118326045927935,0.18236668586114627,132.526950296,False,True,False,False
coil_2000,0.7,0,0.1678438130321846,0.20384063435020677,32.994940331002,36.070798935012135,0.18958399609273946,8.076948843969149,0.18958399609273946,0.18958399609273946,0.20509967656716296,127.41169439499208,True,True,False,False
coil_2000,0.8,0,0.1593971014185929,0.18783456235648321,39.03794385299625,41.014035230000445,0.16931011093907708,13.248052523005754,0.16931011093907708,0.16931011093907708,0.1896767178069711,130.39919956799713,True,True,False,False
